Component,Dominant_topic_cluster(s),Perc_contribution,Topic_keywords
buildwall-ng-3,message-based,0.7692915201187134,message-list-write-value-connection-factory-field-result-local-request
buildwall-ng-4,object-based,0.9997057914733887,object-type-value-attribute-key-stream-context-code-element-clazz
buildwall-ng-5,object-based / event-based,0.9998897910118103,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
cassandra-1,message-based,0.9987623691558838,message-list-write-value-connection-factory-field-result-local-request
cassandra-2,object-based / message-based,0.9999645352363586,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
cassandra-3,message-based,0.9997435212135315,message-list-write-value-connection-factory-field-result-local-request
cassandra-4,object-based,0.9950306415557861,object-type-value-attribute-key-stream-context-code-element-clazz
cdiext-1,object-based,0.9026467800140381,object-type-value-attribute-key-stream-context-code-element-clazz
cdiext-2,message-based / object-based,0.9999832808971405,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
cdiext-3,object-based / event-based,0.9999835193157196,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
cdiext-4,object-based,0.9998933672904968,object-type-value-attribute-key-stream-context-code-element-clazz
cdiext-5,message-based,0.9988899230957031,message-list-write-value-connection-factory-field-result-local-request
cdiext-6,object-based,0.9993338584899902,object-type-value-attribute-key-stream-context-code-element-clazz
cdiext-7,object-based / message-based,0.9997145533561707,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
cdiext-8,object-based,0.9993315935134888,object-type-value-attribute-key-stream-context-code-element-clazz
cdiext-9,message-based,0.9985688328742981,message-list-write-value-connection-factory-field-result-local-request
cibus-1,object-based,0.9962136149406433,object-type-value-attribute-key-stream-context-code-element-clazz
cibus-2,event-based / object-based,0.9291138052940369,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
cibus-3,object-based,0.9971458911895752,object-type-value-attribute-key-stream-context-code-element-clazz
cibus2-1,object-based,0.9997434020042419,object-type-value-attribute-key-stream-context-code-element-clazz
cibus2-2,object-based,0.9995124340057373,object-type-value-attribute-key-stream-context-code-element-clazz
cibus2-3,object-based,0.8615906238555908,object-type-value-attribute-key-stream-context-code-element-clazz
cinch-1,message-based,0.8929532766342163,message-list-write-value-connection-factory-field-result-local-request
classpath-manager-1,object-based,0.9996223449707031,object-type-value-attribute-key-stream-context-code-element-clazz
code-retreat-reykjavik-1,event-based,0.9999610781669617,event-action-listener-list-component-object-text-item-change-color
code-retreat-reykjavik-2,event-based,0.9999064803123474,event-action-listener-list-component-object-text-item-change-color
code-retreat-reykjavik-3,event-based,0.9995736479759216,event-action-listener-list-component-object-text-item-change-color
code-retreat-reykjavik-4,event-based,0.9994244575500488,event-action-listener-list-component-object-text-item-change-color
code-retreat-reykjavik-5,event-based,0.9995834231376648,event-action-listener-list-component-object-text-item-change-color
confcaller-1,event-based,0.7990213632583618,event-action-listener-list-component-object-text-item-change-color
confcaller-2,event-based,0.999444842338562,event-action-listener-list-component-object-text-item-change-color
defac-1,object-based / message-based,0.9999717473983765,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
defac-2,object-based,0.9998058080673218,object-type-value-attribute-key-stream-context-code-element-clazz
defac-3,message-based / object-based,0.9997214078903198,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
defac-4,event-based / message-based,0.9999297857284546,message-list-write-value-connection-factory-field-result-local-request-message-list-write-value-connection-factory-field-result-local-request
defac-5,event-based / object-based,0.9989982545375824,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
defac-6,object-based,0.9988203644752502,object-type-value-attribute-key-stream-context-code-element-clazz
doogal-1,event-based / object-based,0.9988144338130951,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
doogal-2,object-based / message-based,0.940096378326416,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
doogal-3,object-based,0.9988252520561218,object-type-value-attribute-key-stream-context-code-element-clazz
doogal-4,event-based,0.999608039855957,event-action-listener-list-component-object-text-item-change-color
doogal-5,object-based,0.9997892379760742,object-type-value-attribute-key-stream-context-code-element-clazz
doogal-6,message-based,0.9901443123817444,message-list-write-value-connection-factory-field-result-local-request
droidraw-1,event-based,0.9998227953910828,event-action-listener-list-component-object-text-item-change-color
dsl4eclipse-1,event-based,0.7695729732513428,event-action-listener-list-component-object-text-item-change-color
dsl4eclipse-2,event-based,0.9996875524520874,event-action-listener-list-component-object-text-item-change-color
dsl4eclipse-3,object-based,0.9007774591445923,object-type-value-attribute-key-stream-context-code-element-clazz
dwr-toplink-1,object-based,0.9312878251075745,object-type-value-attribute-key-stream-context-code-element-clazz
dwr-toplink-2,object-based,0.9994738101959229,object-type-value-attribute-key-stream-context-code-element-clazz
edmontoninfo_android-1,event-based,0.9784796237945557,event-action-listener-list-component-object-text-item-change-color
edmontoninfo_android-10,event-based / object-based,0.9997369349002838,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
edmontoninfo_android-11,event-based,0.9999209046363831,event-action-listener-list-component-object-text-item-change-color
edmontoninfo_android-12,event-based,0.9999350309371948,event-action-listener-list-component-object-text-item-change-color
edmontoninfo_android-13,event-based,0.9996429681777954,event-action-listener-list-component-object-text-item-change-color
edmontoninfo_android-14,event-based / message-based,0.9998571872711182,message-list-write-value-connection-factory-field-result-local-request-message-list-write-value-connection-factory-field-result-local-request
edmontoninfo_android-15,event-based,0.9995450377464294,event-action-listener-list-component-object-text-item-change-color
edmontoninfo_android-16,event-based,0.9999155402183533,event-action-listener-list-component-object-text-item-change-color
edmontoninfo_android-17,event-based / object-based,0.9988901913166046,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
edmontoninfo_android-2,object-based / event-based,0.8867701143026352,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
edmontoninfo_android-3,object-based / event-based,0.9999337196350098,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
edmontoninfo_android-4,event-based,0.999946653842926,event-action-listener-list-component-object-text-item-change-color
edmontoninfo_android-5,object-based / event-based,0.9999314546585083,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
edmontoninfo_android-6,event-based / object-based,0.99993896484375,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
edmontoninfo_android-7,object-based / event-based,0.9999258816242218,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
edmontoninfo_android-8,object-based / event-based,0.9999247193336487,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
edmontoninfo_android-9,object-based / event-based,0.9999186098575592,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
eftepd-1,message-based,0.9737566709518433,message-list-write-value-connection-factory-field-result-local-request
eftepd-2,message-based,0.9996069669723511,message-list-write-value-connection-factory-field-result-local-request
etherpad-1,object-based,0.9999962449073792,object-type-value-attribute-key-stream-context-code-element-clazz
etherpad-10,object-based,0.9999389052391052,object-type-value-attribute-key-stream-context-code-element-clazz
etherpad-11,object-based,0.9999141097068787,object-type-value-attribute-key-stream-context-code-element-clazz
etherpad-12,object-based,0.9574946165084839,object-type-value-attribute-key-stream-context-code-element-clazz
etherpad-13,object-based,0.9655976295471191,object-type-value-attribute-key-stream-context-code-element-clazz
etherpad-14,object-based,0.9999387860298157,object-type-value-attribute-key-stream-context-code-element-clazz
etherpad-15,object-based,0.9999539256095886,object-type-value-attribute-key-stream-context-code-element-clazz
etherpad-16,event-based,0.9183800220489502,event-action-listener-list-component-object-text-item-change-color
