Component,Dominant_topic_cluster(s),Perc_contribution,Topic_keywords
IndepMod-6,event-based,0.9999805092811584,event-action-listener-list-component-object-text-item-change-color
IndepMod-7,event-based,0.9999773502349854,event-action-listener-list-component-object-text-item-change-color
IndepMod-8,event-based,0.9999751448631287,event-action-listener-list-component-object-text-item-change-color
IndepMod-9,event-based,0.9999264478683472,event-action-listener-list-component-object-text-item-change-color
JGit-1,event-based / object-based,0.9992977678775787,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
JGit-2,object-based / event-based,0.9885257184505463,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
JavAkinator-1,message-based,0.7979969382286072,message-list-write-value-connection-factory-field-result-local-request
JavaFileSync-1,object-based,0.8259155750274658,object-type-value-attribute-key-stream-context-code-element-clazz
JsTestDriver-1,object-based,0.9192836284637451,object-type-value-attribute-key-stream-context-code-element-clazz
JsTestDriver-10,object-based / message-based,0.999737024307251,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-11,message-based,0.9994732141494751,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-12,message-based,0.7605264782905579,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-13,event-based,0.9994121789932251,event-action-listener-list-component-object-text-item-change-color
JsTestDriver-14,message-based,0.9994585514068604,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-15,message-based,0.9939984083175659,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-16,object-based / message-based,0.9996300339698792,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-17,object-based,0.999259889125824,object-type-value-attribute-key-stream-context-code-element-clazz
JsTestDriver-2,message-based,0.99995356798172,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-3,message-based / event-based,0.9429048299789429,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
JsTestDriver-4,message-based,0.898475706577301,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-5,message-based,0.999915599822998,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-6,message-based,0.9999009370803833,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-7,message-based,0.9535120725631714,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-8,message-based,0.999833345413208,message-list-write-value-connection-factory-field-result-local-request
JsTestDriver-9,event-based,0.9996966123580933,event-action-listener-list-component-object-text-item-change-color
MobileEye-1,event-based,0.9999688267707825,event-action-listener-list-component-object-text-item-change-color
MobileEye-2,event-based,0.9725400805473328,event-action-listener-list-component-object-text-item-change-color
MobileEye-3,event-based / object-based,0.9080818593502045,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
